State,, FIPS,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Williamson County, Texas(6,8)",,48491,426,417.6,434.5,2052,rising,2.7,0.8,4.7
"Charleston County, South Carolina(6,8)",,45019,450.7,441.7,459.8,2044,falling,-1.3,-1.7,-0.8
"Forsyth County, North Carolina(6,8)",,37067,475.5,466.1,485,2041,falling,-0.6,-1,-0.1
"Hamilton County, Tennessee(6,8)",,47065,459.7,450.5,468.9,2039,falling,-1.3,-2,-0.5
"Orange County, New York(7,8)",,36071,497.8,487.9,507.9,2009,falling,-0.6,-0.9,-0.4
"St. Charles County, Missouri(6,8)",,29183,461.2,452,470.6,1989,falling,-1,-1.4,-0.6
"St. Lucie County, Florida(6,8)",,12111,438.4,429.3,447.6,1983,stable,-0.6,-1.2,0.1
"Rockingham County, New Hampshire(6,8)",,33015,502.4,492.1,512.8,1969,falling,-1,-1.3,-0.7
"Albany County, New York(7,8)",,36001,518.7,508.1,529.6,1919,stable,0.1,-0.2,0.4
"Orleans Parish, Louisiana(7,8)",,22071,447.4,438.2,456.8,1905,falling,-1.6,-2.5,-0.7
"Barnstable County, Massachusetts(7,8)",,25001,483,472.3,494.1,1901,falling,-1.4,-1.7,-1
"Butler County, Ohio(6,8)",,39017,448.4,439.1,457.8,1855,stable,-0.5,-0.9,0
"Gloucester County, New Jersey(7,8)",,34015,541.6,530.3,553,1853,stable,-0.2,-0.5,0
"Lane County, Oregon(6,8)",,41039,389.9,381.6,398.3,1846,falling,-1.8,-2.4,-1.3
"Pinal County, Arizona(6,8)",,4021,355,347.5,362.6,1845,falling,-1.1,-1.7,-0.6
"Escambia County, Florida(6,8)",,12033,492.6,482.3,503.1,1838,rising,0.9,0.2,1.7
"Somerset County, New Jersey(7,8)",,34035,463.3,453.6,473.2,1827,falling,-0.8,-1.2,-0.4
"Lorain County, Ohio(6,8)",,39093,468,458.1,478,1820,falling,-0.5,-0.8,-0.3
"Madison County, Alabama(6,8)",,1089,443.6,434.3,453.1,1800,stable,0,-0.6,0.6
"Rockland County, New York(7,8)",,36087,485.7,475.4,496,1794,falling,-1.5,-2.2,-0.9
"Richland County, South Carolina(6,8)",,45079,449.3,439.7,459,1776,falling,-1.1,-1.4,-0.7
"Dutchess County, New York(7,8)",,36027,473.6,463.5,483.8,1773,falling,-0.6,-0.9,-0.3
"Adams County, Colorado(6,8)",,8001,406,397.2,414.9,1736,falling,-1,-1.4,-0.6
"Allen County, Indiana(6,8)",,18003,433.2,423.9,442.6,1732,falling,-1,-1.4,-0.6
"Charlotte County, Florida(6,8)",,12015,462,450,474.3,1730,stable,0,-0.8,0.8
"Cumberland County, Maine(6,8)",,23005,459.1,449.1,469.2,1720,falling,-1.1,-1.5,-0.7
"Monterey County, California(7,8)",,6053,394,385.5,402.6,1711,falling,-0.8,-1.1,-0.4
"Marin County, California(7,8)",,6041,448.9,439,459,1704,stable,2,-2.4,6.5
"Atlantic County, New Jersey(7,8)",,34001,495.8,485,506.8,1699,falling,-0.8,-1.2,-0.5
"Marion County, Oregon(6,8)",,41047,453.7,443.9,463.6,1697,falling,-0.8,-1.4,-0.2
"Sussex County, Delaware(6,8)",,10005,477.1,466.1,488.4,1691,falling,-5.2,-9.2,-1
"Chesterfield County, Virginia(6,8)",,51041,450.8,440.8,460.8,1688,falling,-0.9,-1.5,-0.4
"Spartanburg County, South Carolina(6,8)",,45083,472.8,462.5,483.3,1675,stable,-0.5,-0.9,0
"Winnebago County, Illinois(6,8)",,17201,473.3,463,483.9,1674,stable,-0.2,-0.5,0.2
"Hernando County, Florida(6,8)",,12053,546.2,533.4,559.2,1667,stable,-2.2,-5,0.8
"Yavapai County, Arizona(6,8)",,4025,407.9,398,418,1654,falling,-0.8,-1.3,-0.2
"Henrico County, Virginia(6,8)",,51087,445.5,435.8,455.5,1648,falling,-1.2,-1.7,-0.6
"Erie County, Pennsylvania(6,8)",,42049,475.3,464.7,486,1643,stable,-0.4,-0.8,0
"New London County, Connecticut(7,8)",,9011,474.2,463.6,484.9,1640,falling,-1.1,-1.5,-0.7
"San Luis Obispo County, California(7,8)",,6079,440.1,430.1,450.3,1622,falling,-1.1,-1.5,-0.8
"Kitsap County, Washington(7,8)",,53035,502.7,491.3,514.3,1615,stable,-0.2,-0.4,0
"Madison County, Illinois(6,8)",,17119,482.7,471.9,493.7,1601,falling,-1.2,-1.9,-0.6
"Buncombe County, North Carolina(6,8)",,37021,471.1,460.4,481.9,1597,stable,-0.4,-0.9,0.1
"St. Louis City, Missouri(6,8)",,29510,473.7,463,484.6,1586,falling,-2.3,-3.7,-0.9
"Dauphin County, Pennsylvania(6,8)",,42043,471.8,461.2,482.7,1585,stable,-0.2,-0.5,0.1
"Niagara County, New York(7,8)",,36063,552.5,539.9,565.3,1579,stable,0,-0.3,0.3
"Mohave County, Arizona(6,8)",,4015,431.2,420.7,441.9,1579,falling,-3.4,-6.4,-0.4
"Thurston County, Washington(7,8)",,53067,484,473.1,495.2,1573,falling,-0.3,-0.5,-0.1
"Fayette County, Kentucky(7,8)",,21067,486.1,475.1,497.3,1553,falling,-0.9,-1.2,-0.6
"Washtenaw County, Michigan(6,8)",,26161,422.7 #  ,413.1,432.5,1551,falling,-1.6,-2.4,-0.8
"Harford County, Maryland(6,8)",,24025,512.8,501.1,524.7,1546,stable,0.1,-0.3,0.6
"McHenry County, Illinois(6,8)",,17111,455.7,445.2,466.4,1546,falling,-1.2,-1.5,-0.8
"Tulare County, California(7,8)",,6107,376.5,368,385.1,1541,falling,-1.2,-1.5,-0.9
"Oneida County, New York(7,8)",,36065,503.8,492.2,515.7,1525,falling,-0.4,-0.7,-0.1
"Saratoga County, New York(7,8)",,36091,528.6,516.4,541,1514,stable,-0.2,-0.6,0.2
"Cameron County, Texas(6,8)",,48061,370.9,362.5,379.4,1511,falling,-0.8,-1.2,-0.5
"Citrus County, Florida(6,8)",,12017,521.1,507.1,535.5,1506,stable,-2.9,-8,2.5
"St. Tammany Parish, Louisiana(7,8)",,22103,497.8,486.2,509.6,1499,falling,-0.5,-0.8,-0.2
"Larimer County, Colorado(6,8)",,8069,407.4,397.9,417.1,1491,stable,1.3,-0.4,3
"Osceola County, Florida(6,8)",,12097,446.1,435.9,456.5,1489,stable,0,-0.5,0.6
"Lake County, Ohio(6,8)",,39085,474.7,463.6,486.1,1486,stable,-0.1,-0.6,0.3
"St. Johns County, Florida(6,8)",,12109,487.4,476,499.1,1485,stable,-1,-8.5,7.1
"Washington County, Pennsylvania(6,8)",,42125,508.3,496.3,520.6,1484,stable,-0.1,-0.5,0.3
"Nueces County, Texas(6,8)",,48355,380.5,371.7,389.5,1471,falling,-1.8,-2.2,-1.3
"Lexington County, South Carolina(6,8)",,45063,447.3,436.9,458,1466,falling,-0.7,-1.3,-0.1
"Utah County, Utah(7,8)",,49049,384.2,375.1,393.3,1452,stable,0.1,-0.1,0.3
"St. Clair County, Illinois(6,8)",,17163,471,459.9,482.3,1441,falling,-0.7,-1.2,-0.3
"Mahoning County, Ohio(6,8)",,39099,434.8,424.3,445.5,1433,falling,-1.4,-1.9,-0.9
"Caddo Parish, Louisiana(7,8)",,22017,476.6,465.3,488.1,1427,falling,-0.6,-1,-0.2
"Cumberland County, North Carolina(6,8)",,37051,461.5,450.6,472.6,1413,stable,-0.2,-0.6,0.2
"Sumter County, Florida(6,8)",,12119,439.5,424.1,455.4,1413,falling,-3.3,-5.6,-1
"Cumberland County, Pennsylvania(6,8)",,42041,442.2,431.7,453,1403,falling,-2,-2.8,-1.2
"Bell County, Texas(6,8)",,48027,486.3,474.7,498,1403,stable,-0.4,-0.8,0.1
"Greene County, Missouri(6,8)",,29077,418.1,408.1,428.3,1388,falling,-1.1,-1.5,-0.8
"Chatham County, Georgia(7,8)",,13051,444.8,434.1,455.6,1388,stable,-0.4,-0.7,0
"Brazoria County, Texas(6,8)",,48039,412.1,402.1,422.2,1384,falling,-1.9,-2.2,-1.5
"Lackawanna County, Pennsylvania(6,8)",,42069,479.3,467.6,491.2,1381,stable,-0.4,-0.9,0.1
"Galveston County, Texas(6,8)",,48167,389.4,380,399,1380,falling,-2.6,-2.9,-2.4
"Howard County, Maryland(6,8)",,24027,407.9,398,418,1371,falling,-1.3,-1.8,-0.8
"Lancaster County, Nebraska(6,8)",,31109,440.3,429.6,451.1,1369,stable,1.2,-1.3,3.7
